,Departamento,Anio,Concepto,Cantidad
66,Caldas,2002,Consultorios en el servicio de urgencias,47
67,Caldas,2002,Salas de quirófanos,23
68,Caldas,2002,Mesas de partos,42
69,Caldas,2002,Número de unidades de odontología,89
70,Caquetá,2002,Camas de hospitalización,296
71,Caquetá,2002,Camas de observación,50
72,Caquetá,2002,Consultorios de consulta externa,57
73,Caquetá,2002,Consultorios en el servicio de urgencias,20
74,Caquetá,2002,Salas de quirófanos,7
75,Caquetá,2002,Mesas de partos,23
76,Caquetá,2002,Número de unidades de odontología,30
77,Casanare,2002,Camas de hospitalización,314
78,Casanare,2002,Camas de observación,68
79,Casanare,2002,Consultorios de consulta externa,67
80,Casanare,2002,Consultorios en el servicio de urgencias,19
81,Casanare,2002,Salas de quirófanos,9
82,Casanare,2002,Mesas de partos,23
83,Casanare,2002,Número de unidades de odontología,39
84,Cauca,2002,Camas de hospitalización,645
85,Cauca,2002,Camas de observación,161
86,Cauca,2002,Consultorios de consulta externa,256
87,Cauca,2002,Consultorios en el servicio de urgencias,64
88,Cauca,2002,Salas de quirófanos,24
89,Cauca,2002,Mesas de partos,69
90,Cauca,2002,Número de unidades de odontología,116
91,Cesar,2002,Camas de hospitalización,681
92,Cesar,2002,Camas de observación,138
93,Cesar,2002,Consultorios de consulta externa,184
94,Cesar,2002,Consultorios en el servicio de urgencias,44
95,Cesar,2002,Salas de quirófanos,22
96,Cesar,2002,Mesas de partos,54
97,Cesar,2002,Número de unidades de odontología,59
98,Chocó,2002,Camas de hospitalización,301
99,Chocó,2002,Camas de observación,111
100,Chocó,2002,Consultorios de consulta externa,58
101,Chocó,2002,Consultorios en el servicio de urgencias,17
102,Chocó,2002,Salas de quirófanos,8
103,Chocó,2002,Mesas de partos,36
104,Chocó,2002,Número de unidades de odontología,36
105,Córdoba,2002,Camas de hospitalización,764
106,Córdoba,2002,Camas de observación,166
107,Córdoba,2002,Consultorios de consulta externa,210
108,Córdoba,2002,Consultorios en el servicio de urgencias,43
109,Córdoba,2002,Salas de quirófanos,25
110,Córdoba,2002,Mesas de partos,42
111,Córdoba,2002,Número de unidades de odontología,87
112,Cundinamarca,2002,Camas de hospitalización,1.792
113,Cundinamarca,2002,Camas de observación,280
114,Cundinamarca,2002,Consultorios de consulta externa,361
115,Cundinamarca,2002,Consultorios en el servicio de urgencias,98
116,Cundinamarca,2002,Salas de quirófanos,72
117,Cundinamarca,2002,Mesas de partos,75
118,Cundinamarca,2002,Número de unidades de odontología,147
119,Guainía,2002,Camas de hospitalización,56
120,Guainía,2002,Camas de observación,4
121,Guainía,2002,Consultorios de consulta externa,3
122,Guainía,2002,Consultorios en el servicio de urgencias,3
123,Guainía,2002,Salas de quirófanos,1
124,Guainía,2002,Mesas de partos,3
125,Guainía,2002,Número de unidades de odontología,3
126,Guaviare,2002,Camas de hospitalización,126
127,Guaviare,2002,Camas de observación,7
128,Guaviare,2002,Consultorios de consulta externa,14
129,Guaviare,2002,Consultorios en el servicio de urgencias,2
130,Guaviare,2002,Salas de quirófanos,2
131,Guaviare,2002,Mesas de partos,1
132,Guaviare,2002,Número de unidades de odontología,3
133,Huila,2002,Camas de hospitalización,828
134,Huila,2002,Camas de observación,148
135,Huila,2002,Consultorios de consulta externa,182
136,Huila,2002,Consultorios en el servicio de urgencias,49
137,Huila,2002,Salas de quirófanos,20
138,Huila,2002,Mesas de partos,53
139,Huila,2002,Número de unidades de odontología,77
140,La Guajira,2002,Camas de hospitalización,271
141,La Guajira,2002,Camas de observación,51
142,La Guajira,2002,Consultorios de consulta externa,113
143,La Guajira,2002,Consultorios en el servicio de urgencias,30
144,La Guajira,2002,Salas de quirófanos,13
145,La Guajira,2002,Mesas de partos,32
146,La Guajira,2002,Número de unidades de odontología,47
147,Magdalena,2002,Camas de hospitalización,706
148,Magdalena,2002,Camas de observación,106
149,Magdalena,2002,Consultorios de consulta externa,124
150,Magdalena,2002,Consultorios en el servicio de urgencias,50
151,Magdalena,2002,Salas de quirófanos,18
152,Magdalena,2002,Mesas de partos,53
153,Magdalena,2002,Número de unidades de odontología,54
154,Meta,2002,Camas de hospitalización,552
155,Meta,2002,Camas de observación,87
156,Meta,2002,Consultorios de consulta externa,89
157,Meta,2002,Consultorios en el servicio de urgencias,31
158,Meta,2002,Salas de quirófanos,20
159,Meta,2002,Mesas de partos,31
160,Meta,2002,Número de unidades de odontología,40
161,Nariño,2002,Camas de hospitalización,580
162,Nariño,2002,Camas de observación,303
163,Nariño,2002,Consultorios de consulta externa,294
164,Nariño,2002,Consultorios en el servicio de urgencias,87
165,Nariño,2002,Salas de quirófanos,21
166,Nariño,2002,Mesas de partos,93
167,Nariño,2002,Número de unidades de odontología,167
168,Norte de Santander,2002,Camas de hospitalización,860
169,Norte de Santander,2002,Camas de observación,214
170,Norte de Santander,2002,Consultorios de consulta externa,162
171,Norte de Santander,2002,Consultorios en el servicio de urgencias,48
172,Norte de Santander,2002,Salas de quirófanos,20
173,Norte de Santander,2002,Mesas de partos,49
174,Norte de Santander,2002,Número de unidades de odontología,94
175,Putumayo,2002,Camas de hospitalización,222
176,Putumayo,2002,Camas de observación,34
177,Putumayo,2002,Consultorios de consulta externa,57
178,Putumayo,2002,Consultorios en el servicio de urgencias,11
179,Putumayo,2002,Salas de quirófanos,6
180,Putumayo,2002,Mesas de partos,13
181,Putumayo,2002,Número de unidades de odontología,29
182,Quindío,2002,Camas de hospitalización,526
183,Quindío,2002,Camas de observación,96
184,Quindío,2002,Consultorios de consulta externa,105
185,Quindío,2002,Consultorios en el servicio de urgencias,27
186,Quindío,2002,Salas de quirófanos,12
187,Quindío,2002,Mesas de partos,17
188,Quindío,2002,Número de unidades de odontología,68
189,Risaralda,2002,Camas de hospitalización,618
190,Risaralda,2002,Camas de observación,186
191,Risaralda,2002,Consultorios de consulta externa,187
192,Risaralda,2002,Consultorios en el servicio de urgencias,30
193,Risaralda,2002,Salas de quirófanos,18
194,Risaralda,2002,Mesas de partos,26
195,Risaralda,2002,Número de unidades de odontología,59
196,Santander,2002,Camas de hospitalización,2.195
197,Santander,2002,Camas de observación,284
198,Santander,2002,Consultorios de consulta externa,331
199,Santander,2002,Consultorios en el servicio de urgencias,111
200,Santander,2002,Salas de quirófanos,60
201,Santander,2002,Mesas de partos,102
202,Santander,2002,Número de unidades de odontología,160
203,Sucre,2002,Camas de hospitalización,577
204,Sucre,2002,Camas de observación,156
205,Sucre,2002,Consultorios de consulta externa,155
206,Sucre,2002,Consultorios en el servicio de urgencias,35
207,Sucre,2002,Salas de quirófanos,16
208,Sucre,2002,Mesas de partos,42
209,Sucre,2002,Número de unidades de odontología,62
210,Tolima,2002,Camas de hospitalización,1.050
211,Tolima,2002,Camas de observación,173
212,Tolima,2002,Consultorios de consulta externa,200
213,Tolima,2002,Consultorios en el servicio de urgencias,69
214,Tolima,2002,Salas de quirófanos,36
215,Tolima,2002,Mesas de partos,66
216,Tolima,2002,Número de unidades de odontología,106
217,Valle del Cauca,2002,Camas de hospitalización,1.764
218,Valle del Cauca,2002,Camas de observación,372
219,Valle del Cauca,2002,Consultorios de consulta externa,331
220,Valle del Cauca,2002,Consultorios en el servicio de urgencias,82
221,Valle del Cauca,2002,Salas de quirófanos,66
222,Valle del Cauca,2002,Mesas de partos,62
223,Valle del Cauca,2002,Número de unidades de odontología,130
224,Vaupés,2002,Camas de hospitalización,34
225,Vaupés,2002,Camas de observación,6
226,Vaupés,2002,Consultorios de consulta externa,3
227,Vaupés,2002,Consultorios en el servicio de urgencias,1
228,Vaupés,2002,Salas de quirófanos,1
229,Vaupés,2002,Mesas de partos,1
230,Vaupés,2002,Número de unidades de odontología,3
231,Vichada,2002,Camas de hospitalización,96
232,Vichada,2002,Camas de observación,9
233,Vichada,2002,Consultorios de consulta externa,19
234,Vichada,2002,Consultorios en el servicio de urgencias,7
235,Vichada,2002,Salas de quirófanos,8
236,Vichada,2002,Mesas de partos,8
237,Vichada,2002,Número de unidades de odontología,11
238,Nacional,2003,Camas de hospitalización,25.185
239,Nacional,2003,Camas de observación,5.229
240,Nacional,2003,Consultorios de consulta externa,6.624
241,Nacional,2003,Consultorios en el servicio de urgencias,1.630
242,Nacional,2003,Salas de quirófanos,825
243,Nacional,2003,Mesas de partos,1.568
244,Nacional,2003,Número de unidades de odontología,3.054
245,Amazonas,2003,Camas de hospitalización,86
246,Amazonas,2003,Camas de observación,8
247,Amazonas,2003,Consultorios de consulta externa,17
248,Amazonas,2003,Consultorios en el servicio de urgencias,10
249,Amazonas,2003,Salas de quirófanos,11
250,Amazonas,2003,Mesas de partos,10
251,Amazonas,2003,Número de unidades de odontología,11
252,Antioquia,2003,Camas de hospitalización,2.740
253,Antioquia,2003,Camas de observación,555
254,Antioquia,2003,Consultorios de consulta externa,941
255,Antioquia,2003,Consultorios en el servicio de urgencias,184
256,Antioquia,2003,Salas de quirófanos,114
257,Antioquia,2003,Mesas de partos,187
258,Antioquia,2003,Número de unidades de odontología,428
259,Arauca,2003,Camas de hospitalización,236
260,Arauca,2003,Camas de observación,39
261,Arauca,2003,Consultorios de consulta externa,37
262,Arauca,2003,Consultorios en el servicio de urgencias,13
263,Arauca,2003,Salas de quirófanos,9
264,Arauca,2003,Mesas de partos,12
265,Arauca,2003,Número de unidades de odontología,20
266,"Archipiélago de San Andrés, Providencia y Santa Catalina",2003,Camas de hospitalización,65
267,"Archipiélago de San Andrés, Providencia y Santa Catalina",2003,Camas de observación,2
268,"Archipiélago de San Andrés, Providencia y Santa Catalina",2003,Consultorios de consulta externa,18
269,"Archipiélago de San Andrés, Providencia y Santa Catalina",2003,Consultorios en el servicio de urgencias,4
270,"Archipiélago de San Andrés, Providencia y Santa Catalina",2003,Salas de quirófanos,3
271,"Archipiélago de San Andrés, Providencia y Santa Catalina",2003,Mesas de partos,2
272,"Archipiélago de San Andrés, Providencia y Santa Catalina",2003,Número de unidades de odontología,6
273,Atlántico,2003,Camas de hospitalización,968
274,Atlántico,2003,Camas de observación,160
275,Atlántico,2003,Consultorios de consulta externa,194
276,Atlántico,2003,Consultorios en el servicio de urgencias,45
277,Atlántico,2003,Salas de quirófanos,24
278,Atlántico,2003,Mesas de partos,52
279,Atlántico,2003,Número de unidades de odontología,62
280,"Bogotá, D.C.",2003,Camas de hospitalización,2.259
281,"Bogotá, D.C.",2003,Camas de observación,338
282,"Bogotá, D.C.",2003,Consultorios de consulta externa,682
283,"Bogotá, D.C.",2003,Consultorios en el servicio de urgencias,91
284,"Bogotá, D.C.",2003,Salas de quirófanos,54
285,"Bogotá, D.C.",2003,Mesas de partos,51
286,"Bogotá, D.C.",2003,Número de unidades de odontología,263
287,Bolívar,2003,Camas de hospitalización,712
288,Bolívar,2003,Camas de observación,264
289,Bolívar,2003,Consultorios de consulta externa,272
290,Bolívar,2003,Consultorios en el servicio de urgencias,70
291,Bolívar,2003,Salas de quirófanos,28
292,Bolívar,2003,Mesas de partos,90
293,Bolívar,2003,Número de unidades de odontología,124
294,Boyacá,2003,Camas de hospitalización,1.224
295,Boyacá,2003,Camas de observación,250
296,Boyacá,2003,Consultorios de consulta externa,392
297,Boyacá,2003,Consultorios en el servicio de urgencias,107
298,Boyacá,2003,Salas de quirófanos,43
299,Boyacá,2003,Mesas de partos,88
300,Boyacá,2003,Número de unidades de odontología,254
301,Caldas,2003,Camas de hospitalización,1.132
302,Caldas,2003,Camas de observación,123
303,Caldas,2003,Consultorios de consulta externa,224
304,Caldas,2003,Consultorios en el servicio de urgencias,51
305,Caldas,2003,Salas de quirófanos,23
306,Caldas,2003,Mesas de partos,42
307,Caldas,2003,Número de unidades de odontología,92
308,Caquetá,2003,Camas de hospitalización,300
309,Caquetá,2003,Camas de observación,50
310,Caquetá,2003,Consultorios de consulta externa,58
311,Caquetá,2003,Consultorios en el servicio de urgencias,21
312,Caquetá,2003,Salas de quirófanos,7
313,Caquetá,2003,Mesas de partos,23
314,Caquetá,2003,Número de unidades de odontología,32
315,Casanare,2003,Camas de hospitalización,316
316,Casanare,2003,Camas de observación,68
317,Casanare,2003,Consultorios de consulta externa,72
318,Casanare,2003,Consultorios en el servicio de urgencias,19
319,Casanare,2003,Salas de quirófanos,9
320,Casanare,2003,Mesas de partos,23
321,Casanare,2003,Número de unidades de odontología,41
322,Cauca,2003,Camas de hospitalización,659
323,Cauca,2003,Camas de observación,175
324,Cauca,2003,Consultorios de consulta externa,261
325,Cauca,2003,Consultorios en el servicio de urgencias,65
326,Cauca,2003,Salas de quirófanos,27
327,Cauca,2003,Mesas de partos,69
328,Cauca,2003,Número de unidades de odontología,123
329,Cesar,2003,Camas de hospitalización,713
330,Cesar,2003,Camas de observación,140
331,Cesar,2003,Consultorios de consulta externa,186
332,Cesar,2003,Consultorios en el servicio de urgencias,47
333,Cesar,2003,Salas de quirófanos,22
334,Cesar,2003,Mesas de partos,54
335,Cesar,2003,Número de unidades de odontología,61
336,Chocó,2003,Camas de hospitalización,295
337,Chocó,2003,Camas de observación,127
338,Chocó,2003,Consultorios de consulta externa,63
339,Chocó,2003,Consultorios en el servicio de urgencias,18
340,Chocó,2003,Salas de quirófanos,8
341,Chocó,2003,Mesas de partos,35
342,Chocó,2003,Número de unidades de odontología,36
343,Córdoba,2003,Camas de hospitalización,749
344,Córdoba,2003,Camas de observación,181
345,Córdoba,2003,Consultorios de consulta externa,224
346,Córdoba,2003,Consultorios en el servicio de urgencias,45
347,Córdoba,2003,Salas de quirófanos,25
348,Córdoba,2003,Mesas de partos,46
349,Córdoba,2003,Número de unidades de odontología,88
350,Cundinamarca,2003,Camas de hospitalización,1.759
351,Cundinamarca,2003,Camas de observación,287
352,Cundinamarca,2003,Consultorios de consulta externa,381
353,Cundinamarca,2003,Consultorios en el servicio de urgencias,99
354,Cundinamarca,2003,Salas de quirófanos,73
355,Cundinamarca,2003,Mesas de partos,76
356,Cundinamarca,2003,Número de unidades de odontología,157
357,Guainía,2003,Camas de hospitalización,56
358,Guainía,2003,Camas de observación,12
359,Guainía,2003,Consultorios de consulta externa,10
360,Guainía,2003,Consultorios en el servicio de urgencias,5
361,Guainía,2003,Salas de quirófanos,3
362,Guainía,2003,Mesas de partos,5
363,Guainía,2003,Número de unidades de odontología,7
364,Guaviare,2003,Camas de hospitalización,129
365,Guaviare,2003,Camas de observación,18
366,Guaviare,2003,Consultorios de consulta externa,27
367,Guaviare,2003,Consultorios en el servicio de urgencias,7
368,Guaviare,2003,Salas de quirófanos,3
369,Guaviare,2003,Mesas de partos,10
370,Guaviare,2003,Número de unidades de odontología,8
371,Huila,2003,Camas de hospitalización,772
372,Huila,2003,Camas de observación,146
373,Huila,2003,Consultorios de consulta externa,177
374,Huila,2003,Consultorios en el servicio de urgencias,49
375,Huila,2003,Salas de quirófanos,17
376,Huila,2003,Mesas de partos,56
377,Huila,2003,Número de unidades de odontología,81
378,La Guajira,2003,Camas de hospitalización,319
379,La Guajira,2003,Camas de observación,60
380,La Guajira,2003,Consultorios de consulta externa,130
381,La Guajira,2003,Consultorios en el servicio de urgencias,33
382,La Guajira,2003,Salas de quirófanos,16
383,La Guajira,2003,Mesas de partos,33
384,La Guajira,2003,Número de unidades de odontología,51
385,Magdalena,2003,Camas de hospitalización,709
386,Magdalena,2003,Camas de observación,149
387,Magdalena,2003,Consultorios de consulta externa,175
388,Magdalena,2003,Consultorios en el servicio de urgencias,72
389,Magdalena,2003,Salas de quirófanos,19
390,Magdalena,2003,Mesas de partos,70
391,Magdalena,2003,Número de unidades de odontología,88
392,Meta,2003,Camas de hospitalización,641
393,Meta,2003,Camas de observación,107
394,Meta,2003,Consultorios de consulta externa,110
395,Meta,2003,Consultorios en el servicio de urgencias,43
396,Meta,2003,Salas de quirófanos,25
397,Meta,2003,Mesas de partos,42
398,Meta,2003,Número de unidades de odontología,62
399,Nariño,2003,Camas de hospitalización,608
400,Nariño,2003,Camas de observación,339
401,Nariño,2003,Consultorios de consulta externa,329
402,Nariño,2003,Consultorios en el servicio de urgencias,88
403,Nariño,2003,Salas de quirófanos,20
404,Nariño,2003,Mesas de partos,92
405,Nariño,2003,Número de unidades de odontología,190
406,Norte de Santander,2003,Camas de hospitalización,838
407,Norte de Santander,2003,Camas de observación,219
408,Norte de Santander,2003,Consultorios de consulta externa,165
409,Norte de Santander,2003,Consultorios en el servicio de urgencias,49
410,Norte de Santander,2003,Salas de quirófanos,20
411,Norte de Santander,2003,Mesas de partos,52
412,Norte de Santander,2003,Número de unidades de odontología,97
413,Putumayo,2003,Camas de hospitalización,235
414,Putumayo,2003,Camas de observación,66
415,Putumayo,2003,Consultorios de consulta externa,73
416,Putumayo,2003,Consultorios en el servicio de urgencias,14
417,Putumayo,2003,Salas de quirófanos,7
418,Putumayo,2003,Mesas de partos,14
419,Putumayo,2003,Número de unidades de odontología,39
420,Quindío,2003,Camas de hospitalización,537
421,Quindío,2003,Camas de observación,98
422,Quindío,2003,Consultorios de consulta externa,108
423,Quindío,2003,Consultorios en el servicio de urgencias,27
424,Quindío,2003,Salas de quirófanos,12
425,Quindío,2003,Mesas de partos,17
426,Quindío,2003,Número de unidades de odontología,68
427,Risaralda,2003,Camas de hospitalización,603
428,Risaralda,2003,Camas de observación,191
429,Risaralda,2003,Consultorios de consulta externa,190
430,Risaralda,2003,Consultorios en el servicio de urgencias,32
431,Risaralda,2003,Salas de quirófanos,18
432,Risaralda,2003,Mesas de partos,26
433,Risaralda,2003,Número de unidades de odontología,60
434,Santander,2003,Camas de hospitalización,2.057
435,Santander,2003,Camas de observación,298
436,Santander,2003,Consultorios de consulta externa,351
437,Santander,2003,Consultorios en el servicio de urgencias,124
438,Santander,2003,Salas de quirófanos,59
439,Santander,2003,Mesas de partos,107
440,Santander,2003,Número de unidades de odontología,174
441,Sucre,2003,Camas de hospitalización,576
442,Sucre,2003,Camas de observación,168
443,Sucre,2003,Consultorios de consulta externa,158
444,Sucre,2003,Consultorios en el servicio de urgencias,36
445,Sucre,2003,Salas de quirófanos,16
446,Sucre,2003,Mesas de partos,45
447,Sucre,2003,Número de unidades de odontología,64
448,Tolima,2003,Camas de hospitalización,1.027
449,Tolima,2003,Camas de observación,180
450,Tolima,2003,Consultorios de consulta externa,208
451,Tolima,2003,Consultorios en el servicio de urgencias,70
452,Tolima,2003,Salas de quirófanos,36
453,Tolima,2003,Mesas de partos,66
454,Tolima,2003,Número de unidades de odontología,107
455,Valle del Cauca,2003,Camas de hospitalización,1.735
456,Valle del Cauca,2003,Camas de observación,396
457,Valle del Cauca,2003,Consultorios de consulta externa,369
458,Valle del Cauca,2003,Consultorios en el servicio de urgencias,84
459,Valle del Cauca,2003,Salas de quirófanos,65
460,Valle del Cauca,2003,Mesas de partos,64
461,Valle del Cauca,2003,Número de unidades de odontología,146
462,Vaupés,2003,Camas de hospitalización,34
463,Vaupés,2003,Camas de observación,6
464,Vaupés,2003,Consultorios de consulta externa,3
465,Vaupés,2003,Consultorios en el servicio de urgencias,1
466,Vaupés,2003,Salas de quirófanos,1
467,Vaupés,2003,Mesas de partos,1
468,Vaupés,2003,Número de unidades de odontología,3
469,Vichada,2003,Camas de hospitalización,96
470,Vichada,2003,Camas de observación,9
471,Vichada,2003,Consultorios de consulta externa,19
472,Vichada,2003,Consultorios en el servicio de urgencias,7
473,Vichada,2003,Salas de quirófanos,8
474,Vichada,2003,Mesas de partos,8
475,Vichada,2003,Número de unidades de odontología,11
476,Nacional,2004,Camas de hospitalización,24.853
477,Nacional,2004,Camas de observación,5.508
478,Nacional,2004,Consultorios de consulta externa,7.520
479,Nacional,2004,Consultorios en el servicio de urgencias,1.739
480,Nacional,2004,Salas de quirófanos,828
481,Nacional,2004,Mesas de partos,1.611
482,Nacional,2004,Número de unidades de odontología,3.401
483,Amazonas,2004,Camas de hospitalización,86
484,Amazonas,2004,Camas de observación,8
485,Amazonas,2004,Consultorios de consulta externa,21
486,Amazonas,2004,Consultorios en el servicio de urgencias,10
487,Amazonas,2004,Salas de quirófanos,11
488,Amazonas,2004,Mesas de partos,10
489,Amazonas,2004,Número de unidades de odontología,11
490,Antioquia,2004,Camas de hospitalización,2.745
491,Antioquia,2004,Camas de observación,562
492,Antioquia,2004,Consultorios de consulta externa,937
493,Antioquia,2004,Consultorios en el servicio de urgencias,190
494,Antioquia,2004,Salas de quirófanos,109
495,Antioquia,2004,Mesas de partos,183
496,Antioquia,2004,Número de unidades de odontología,432
497,Arauca,2004,Camas de hospitalización,238
498,Arauca,2004,Camas de observación,36
499,Arauca,2004,Consultorios de consulta externa,43
500,Arauca,2004,Consultorios en el servicio de urgencias,12
501,Arauca,2004,Salas de quirófanos,8
502,Arauca,2004,Mesas de partos,10
503,Arauca,2004,Número de unidades de odontología,22
504,"Archipiélago de San Andrés, Providencia y Santa Catalina",2004,Camas de hospitalización,65
505,"Archipiélago de San Andrés, Providencia y Santa Catalina",2004,Camas de observación,11
506,"Archipiélago de San Andrés, Providencia y Santa Catalina",2004,Consultorios de consulta externa,15
507,"Archipiélago de San Andrés, Providencia y Santa Catalina",2004,Consultorios en el servicio de urgencias,4
508,"Archipiélago de San Andrés, Providencia y Santa Catalina",2004,Salas de quirófanos,3
509,"Archipiélago de San Andrés, Providencia y Santa Catalina",2004,Mesas de partos,2
510,"Archipiélago de San Andrés, Providencia y Santa Catalina",2004,Número de unidades de odontología,5
511,Atlántico,2004,Camas de hospitalización,910
512,Atlántico,2004,Camas de observación,186
513,Atlántico,2004,Consultorios de consulta externa,213
514,Atlántico,2004,Consultorios en el servicio de urgencias,48
515,Atlántico,2004,Salas de quirófanos,21
516,Atlántico,2004,Mesas de partos,48
517,Atlántico,2004,Número de unidades de odontología,68
518,"Bogotá, D.C.",2004,Camas de hospitalización,2.336
519,"Bogotá, D.C.",2004,Camas de observación,358
520,"Bogotá, D.C.",2004,Consultorios de consulta externa,735
521,"Bogotá, D.C.",2004,Consultorios en el servicio de urgencias,98
522,"Bogotá, D.C.",2004,Salas de quirófanos,58
523,"Bogotá, D.C.",2004,Mesas de partos,40
524,"Bogotá, D.C.",2004,Número de unidades de odontología,278
525,Bolívar,2004,Camas de hospitalización,718
526,Bolívar,2004,Camas de observación,271
527,Bolívar,2004,Consultorios de consulta externa,307
528,Bolívar,2004,Consultorios en el servicio de urgencias,75
529,Bolívar,2004,Salas de quirófanos,24
530,Bolívar,2004,Mesas de partos,89
531,Bolívar,2004,Número de unidades de odontología,123
532,Boyacá,2004,Camas de hospitalización,1.096
533,Boyacá,2004,Camas de observación,246
534,Boyacá,2004,Consultorios de consulta externa,416
535,Boyacá,2004,Consultorios en el servicio de urgencias,106
536,Boyacá,2004,Salas de quirófanos,43
537,Boyacá,2004,Mesas de partos,86
538,Boyacá,2004,Número de unidades de odontología,251
539,Caldas,2004,Camas de hospitalización,835
540,Caldas,2004,Camas de observación,152
541,Caldas,2004,Consultorios de consulta externa,223
542,Caldas,2004,Consultorios en el servicio de urgencias,64
543,Caldas,2004,Salas de quirófanos,25
544,Caldas,2004,Mesas de partos,56
545,Caldas,2004,Número de unidades de odontología,106
546,Caquetá,2004,Camas de hospitalización,289
547,Caquetá,2004,Camas de observación,53
548,Caquetá,2004,Consultorios de consulta externa,64
549,Caquetá,2004,Consultorios en el servicio de urgencias,21
550,Caquetá,2004,Salas de quirófanos,9
551,Caquetá,2004,Mesas de partos,21
552,Caquetá,2004,Número de unidades de odontología,40
553,Casanare,2004,Camas de hospitalización,280
554,Casanare,2004,Camas de observación,79
555,Casanare,2004,Consultorios de consulta externa,88
556,Casanare,2004,Consultorios en el servicio de urgencias,24
557,Casanare,2004,Salas de quirófanos,20
558,Casanare,2004,Mesas de partos,26
559,Casanare,2004,Número de unidades de odontología,52
560,Cauca,2004,Camas de hospitalización,690
561,Cauca,2004,Camas de observación,175
562,Cauca,2004,Consultorios de consulta externa,289
563,Cauca,2004,Consultorios en el servicio de urgencias,66
564,Cauca,2004,Salas de quirófanos,27
565,Cauca,2004,Mesas de partos,69
566,Cauca,2004,Número de unidades de odontología,143
567,Cesar,2004,Camas de hospitalización,738
568,Cesar,2004,Camas de observación,148
569,Cesar,2004,Consultorios de consulta externa,194
570,Cesar,2004,Consultorios en el servicio de urgencias,48
571,Cesar,2004,Salas de quirófanos,25
572,Cesar,2004,Mesas de partos,55
