DP,DPNOM,AÑO,ÁREA GEOGRÁFICA,Población
19,Cauca,1994,Total,1099397
19,Cauca,1995,Cabecera,393465
19,Cauca,1995,Centros Poblados y Rural Disperso,722849
19,Cauca,1995,Total,1116314
19,Cauca,1996,Cabecera,400030
19,Cauca,1996,Centros Poblados y Rural Disperso,733407
19,Cauca,1996,Total,1133437
19,Cauca,1997,Cabecera,406585
19,Cauca,1997,Centros Poblados y Rural Disperso,744092
19,Cauca,1997,Total,1150677
19,Cauca,1998,Cabecera,417941
19,Cauca,1998,Centros Poblados y Rural Disperso,750015
19,Cauca,1998,Total,1167956
19,Cauca,1999,Cabecera,424470
19,Cauca,1999,Centros Poblados y Rural Disperso,760732
19,Cauca,1999,Total,1185202
19,Cauca,2000,Cabecera,437713
19,Cauca,2000,Centros Poblados y Rural Disperso,764549
19,Cauca,2000,Total,1202262
19,Cauca,2001,Cabecera,449551
19,Cauca,2001,Centros Poblados y Rural Disperso,769404
19,Cauca,2001,Total,1218955
19,Cauca,2002,Cabecera,455735
19,Cauca,2002,Centros Poblados y Rural Disperso,779453
19,Cauca,2002,Total,1235188
19,Cauca,2003,Cabecera,461712
19,Cauca,2003,Centros Poblados y Rural Disperso,789289
19,Cauca,2003,Total,1251001
19,Cauca,2004,Cabecera,467524
19,Cauca,2004,Centros Poblados y Rural Disperso,798923
19,Cauca,2004,Total,1266447
20,Cesar,1993,Cabecera,472038
20,Cesar,1993,Centros Poblados y Rural Disperso,280843
20,Cesar,1993,Total,752881
20,Cesar,1994,Cabecera,483687
20,Cesar,1994,Centros Poblados y Rural Disperso,287408
20,Cesar,1994,Total,771095
20,Cesar,1995,Cabecera,495249
20,Cesar,1995,Centros Poblados y Rural Disperso,293649
20,Cesar,1995,Total,788898
20,Cesar,1996,Cabecera,506855
20,Cesar,1996,Centros Poblados y Rural Disperso,299445
20,Cesar,1996,Total,806300
20,Cesar,1997,Cabecera,518731
20,Cesar,1997,Centros Poblados y Rural Disperso,304632
20,Cesar,1997,Total,823363
20,Cesar,1998,Cabecera,531243
20,Cesar,1998,Centros Poblados y Rural Disperso,308924
20,Cesar,1998,Total,840167
20,Cesar,1999,Cabecera,552907
20,Cesar,1999,Centros Poblados y Rural Disperso,303802
20,Cesar,1999,Total,856709
20,Cesar,2000,Cabecera,568215
20,Cesar,2000,Centros Poblados y Rural Disperso,304720
20,Cesar,2000,Total,872935
20,Cesar,2001,Cabecera,585844
20,Cesar,2001,Centros Poblados y Rural Disperso,302986
20,Cesar,2001,Total,888830
20,Cesar,2002,Cabecera,606226
20,Cesar,2002,Centros Poblados y Rural Disperso,298166
20,Cesar,2002,Total,904392
20,Cesar,2003,Cabecera,629199
20,Cesar,2003,Centros Poblados y Rural Disperso,290437
20,Cesar,2003,Total,919636
20,Cesar,2004,Cabecera,653601
20,Cesar,2004,Centros Poblados y Rural Disperso,280988
20,Cesar,2004,Total,934589
23,Córdoba,1993,Cabecera,623122
23,Córdoba,1993,Centros Poblados y Rural Disperso,668460
23,Córdoba,1993,Total,1291582
23,Córdoba,1994,Cabecera,642951
23,Córdoba,1994,Centros Poblados y Rural Disperso,669554
23,Córdoba,1994,Total,1312505
23,Córdoba,1995,Cabecera,662574
23,Córdoba,1995,Centros Poblados y Rural Disperso,670859
23,Córdoba,1995,Total,1333433
23,Córdoba,1996,Cabecera,681458
23,Córdoba,1996,Centros Poblados y Rural Disperso,672880
23,Córdoba,1996,Total,1354338
23,Córdoba,1997,Cabecera,699287
23,Córdoba,1997,Centros Poblados y Rural Disperso,675958
23,Córdoba,1997,Total,1375245
23,Córdoba,1998,Cabecera,715908
23,Córdoba,1998,Centros Poblados y Rural Disperso,680249
23,Córdoba,1998,Total,1396157
23,Córdoba,1999,Cabecera,731347
23,Córdoba,1999,Centros Poblados y Rural Disperso,685711
23,Córdoba,1999,Total,1417058
23,Córdoba,2000,Cabecera,745726
23,Córdoba,2000,Centros Poblados y Rural Disperso,692142
23,Córdoba,2000,Total,1437868
23,Córdoba,2001,Cabecera,759159
23,Córdoba,2001,Centros Poblados y Rural Disperso,699365
23,Córdoba,2001,Total,1458524
23,Córdoba,2002,Cabecera,771829
23,Córdoba,2002,Centros Poblados y Rural Disperso,707179
23,Córdoba,2002,Total,1479008
23,Córdoba,2003,Cabecera,783897
23,Córdoba,2003,Centros Poblados y Rural Disperso,715435
23,Córdoba,2003,Total,1499332
23,Córdoba,2004,Cabecera,795513
23,Córdoba,2004,Centros Poblados y Rural Disperso,724015
23,Córdoba,2004,Total,1519528
25,Cundinamarca,1993,Cabecera,949703
25,Cundinamarca,1993,Centros Poblados y Rural Disperso,872411
25,Cundinamarca,1993,Total,1822114
25,Cundinamarca,1994,Cabecera,957518
25,Cundinamarca,1994,Centros Poblados y Rural Disperso,850758
25,Cundinamarca,1994,Total,1808276
25,Cundinamarca,1995,Cabecera,967454
25,Cundinamarca,1995,Centros Poblados y Rural Disperso,831179
25,Cundinamarca,1995,Total,1798633
25,Cundinamarca,1996,Cabecera,979523
25,Cundinamarca,1996,Centros Poblados y Rural Disperso,813495
25,Cundinamarca,1996,Total,1793018
25,Cundinamarca,1997,Cabecera,993722
25,Cundinamarca,1997,Centros Poblados y Rural Disperso,797609
25,Cundinamarca,1997,Total,1791331
25,Cundinamarca,1998,Cabecera,1010081
25,Cundinamarca,1998,Centros Poblados y Rural Disperso,783382
25,Cundinamarca,1998,Total,1793463
25,Cundinamarca,1999,Cabecera,1028539
25,Cundinamarca,1999,Centros Poblados y Rural Disperso,770683
25,Cundinamarca,1999,Total,1799222
25,Cundinamarca,2000,Cabecera,1049062
25,Cundinamarca,2000,Centros Poblados y Rural Disperso,759336
25,Cundinamarca,2000,Total,1808398
25,Cundinamarca,2001,Cabecera,1071623
25,Cundinamarca,2001,Centros Poblados y Rural Disperso,749225
25,Cundinamarca,2001,Total,1820848
25,Cundinamarca,2002,Cabecera,1096241
25,Cundinamarca,2002,Centros Poblados y Rural Disperso,740282
25,Cundinamarca,2002,Total,1836523
25,Cundinamarca,2003,Cabecera,1123026
25,Cundinamarca,2003,Centros Poblados y Rural Disperso,732469
25,Cundinamarca,2003,Total,1855495
25,Cundinamarca,2004,Cabecera,1152119
25,Cundinamarca,2004,Centros Poblados y Rural Disperso,725795
25,Cundinamarca,2004,Total,1877914
27,Chocó,1993,Cabecera,81632
27,Chocó,1993,Centros Poblados y Rural Disperso,204366
27,Chocó,1993,Total,285998
27,Chocó,1994,Cabecera,89728
27,Chocó,1994,Centros Poblados y Rural Disperso,204604
27,Chocó,1994,Total,294332
27,Chocó,1995,Cabecera,94342
27,Chocó,1995,Centros Poblados y Rural Disperso,208378
27,Chocó,1995,Total,302720
27,Chocó,1996,Cabecera,98815
27,Chocó,1996,Centros Poblados y Rural Disperso,212410
27,Chocó,1996,Total,311225
27,Chocó,1997,Cabecera,103151
27,Chocó,1997,Centros Poblados y Rural Disperso,216809
27,Chocó,1997,Total,319960
27,Chocó,1998,Cabecera,116557
27,Chocó,1998,Centros Poblados y Rural Disperso,212487
27,Chocó,1998,Total,329044
27,Chocó,1999,Cabecera,120953
27,Chocó,1999,Centros Poblados y Rural Disperso,217540
27,Chocó,1999,Total,338493
27,Chocó,2000,Cabecera,138863
27,Chocó,2000,Centros Poblados y Rural Disperso,209407
27,Chocó,2000,Total,348270
27,Chocó,2001,Cabecera,156168
27,Chocó,2001,Centros Poblados y Rural Disperso,202205
27,Chocó,2001,Total,358373
27,Chocó,2002,Cabecera,166106
27,Chocó,2002,Centros Poblados y Rural Disperso,202712
27,Chocó,2002,Total,368818
27,Chocó,2003,Cabecera,171380
27,Chocó,2003,Centros Poblados y Rural Disperso,208271
27,Chocó,2003,Total,379651
27,Chocó,2004,Cabecera,176795
27,Chocó,2004,Centros Poblados y Rural Disperso,214137
27,Chocó,2004,Total,390932
41,Huila,1993,Cabecera,471944
41,Huila,1993,Centros Poblados y Rural Disperso,314523
41,Huila,1993,Total,786467
41,Huila,1994,Cabecera,481987
41,Huila,1994,Centros Poblados y Rural Disperso,318382
41,Huila,1994,Total,800369
41,Huila,1995,Cabecera,491635
41,Huila,1995,Centros Poblados y Rural Disperso,322591
41,Huila,1995,Total,814226
41,Huila,1996,Cabecera,500934
41,Huila,1996,Centros Poblados y Rural Disperso,327031
41,Huila,1996,Total,827965
41,Huila,1997,Cabecera,509915
41,Huila,1997,Centros Poblados y Rural Disperso,331649
41,Huila,1997,Total,841564
41,Huila,1998,Cabecera,518634
41,Huila,1998,Centros Poblados y Rural Disperso,336358
41,Huila,1998,Total,854992
41,Huila,1999,Cabecera,527082
41,Huila,1999,Centros Poblados y Rural Disperso,341119
41,Huila,1999,Total,868201
41,Huila,2000,Cabecera,535265
41,Huila,2000,Centros Poblados y Rural Disperso,345860
41,Huila,2000,Total,881125
41,Huila,2001,Cabecera,543176
41,Huila,2001,Centros Poblados y Rural Disperso,350559
41,Huila,2001,Total,893735
41,Huila,2002,Cabecera,550877
41,Huila,2002,Centros Poblados y Rural Disperso,355195
41,Huila,2002,Total,906072
41,Huila,2003,Cabecera,558392
41,Huila,2003,Centros Poblados y Rural Disperso,359806
41,Huila,2003,Total,918198
41,Huila,2004,Cabecera,565802
41,Huila,2004,Centros Poblados y Rural Disperso,364396
41,Huila,2004,Total,930198
44,La Guajira,1993,Cabecera,344519
44,La Guajira,1993,Centros Poblados y Rural Disperso,135649
44,La Guajira,1993,Total,480168
44,La Guajira,1994,Cabecera,352864
44,La Guajira,1994,Centros Poblados y Rural Disperso,139378
44,La Guajira,1994,Total,492242
44,La Guajira,1995,Cabecera,361158
44,La Guajira,1995,Centros Poblados y Rural Disperso,143476
44,La Guajira,1995,Total,504634
44,La Guajira,1996,Cabecera,369191
44,La Guajira,1996,Centros Poblados y Rural Disperso,148161
44,La Guajira,1996,Total,517352
44,La Guajira,1997,Cabecera,376605
44,La Guajira,1997,Centros Poblados y Rural Disperso,153851
44,La Guajira,1997,Total,530456
44,La Guajira,1998,Cabecera,382779
44,La Guajira,1998,Centros Poblados y Rural Disperso,161223
44,La Guajira,1998,Total,544002
44,La Guajira,1999,Cabecera,386690
44,La Guajira,1999,Centros Poblados y Rural Disperso,171303
44,La Guajira,1999,Total,557993
44,La Guajira,2000,Cabecera,386988
44,La Guajira,2000,Centros Poblados y Rural Disperso,185434
44,La Guajira,2000,Total,572422
44,La Guajira,2001,Cabecera,382354
44,La Guajira,2001,Centros Poblados y Rural Disperso,204899
44,La Guajira,2001,Total,587253
44,La Guajira,2002,Cabecera,372392
44,La Guajira,2002,Centros Poblados y Rural Disperso,229790
44,La Guajira,2002,Total,602182
44,La Guajira,2003,Cabecera,358858
44,La Guajira,2003,Centros Poblados y Rural Disperso,258152
44,La Guajira,2003,Total,617010
44,La Guajira,2004,Cabecera,345244
44,La Guajira,2004,Centros Poblados y Rural Disperso,286449
44,La Guajira,2004,Total,631693
47,Magdalena,1993,Cabecera,569835
47,Magdalena,1993,Centros Poblados y Rural Disperso,336944
47,Magdalena,1993,Total,906779
47,Magdalena,1994,Cabecera,592047
47,Magdalena,1994,Centros Poblados y Rural Disperso,328935
47,Magdalena,1994,Total,920982
47,Magdalena,1995,Cabecera,612251
47,Magdalena,1995,Centros Poblados y Rural Disperso,323148
47,Magdalena,1995,Total,935399
47,Magdalena,1996,Cabecera,630509
47,Magdalena,1996,Centros Poblados y Rural Disperso,319567
47,Magdalena,1996,Total,950076
47,Magdalena,1997,Cabecera,649788
47,Magdalena,1997,Centros Poblados y Rural Disperso,315287
47,Magdalena,1997,Total,965075
47,Magdalena,1998,Cabecera,665076
47,Magdalena,1998,Centros Poblados y Rural Disperso,315370
47,Magdalena,1998,Total,980446
47,Magdalena,1999,Cabecera,679418
47,Magdalena,1999,Centros Poblados y Rural Disperso,316792
47,Magdalena,1999,Total,996210
47,Magdalena,2000,Cabecera,689046
47,Magdalena,2000,Centros Poblados y Rural Disperso,323300
47,Magdalena,2000,Total,1012346
47,Magdalena,2001,Cabecera,715134
47,Magdalena,2001,Centros Poblados y Rural Disperso,313677
47,Magdalena,2001,Total,1028811
47,Magdalena,2002,Cabecera,728116
47,Magdalena,2002,Centros Poblados y Rural Disperso,317456
47,Magdalena,2002,Total,1045572
47,Magdalena,2003,Cabecera,740959
47,Magdalena,2003,Centros Poblados y Rural Disperso,321690
47,Magdalena,2003,Total,1062649
47,Magdalena,2004,Cabecera,753786
47,Magdalena,2004,Centros Poblados y Rural Disperso,326290
47,Magdalena,2004,Total,1080076
50,Meta,1993,Cabecera,366671
50,Meta,1993,Centros Poblados y Rural Disperso,180015
50,Meta,1993,Total,546686
50,Meta,1994,Cabecera,386712
50,Meta,1994,Centros Poblados y Rural Disperso,179590
50,Meta,1994,Total,566302
50,Meta,1995,Cabecera,401979
50,Meta,1995,Centros Poblados y Rural Disperso,184193
50,Meta,1995,Total,586172
50,Meta,1996,Cabecera,418410
50,Meta,1996,Centros Poblados y Rural Disperso,187844
50,Meta,1996,Total,606254
50,Meta,1997,Cabecera,436357
50,Meta,1997,Centros Poblados y Rural Disperso,190184
50,Meta,1997,Total,626541
50,Meta,1998,Cabecera,456063
50,Meta,1998,Centros Poblados y Rural Disperso,190967
50,Meta,1998,Total,647030
50,Meta,1999,Cabecera,477399
50,Meta,1999,Centros Poblados y Rural Disperso,190285
50,Meta,1999,Total,667684
50,Meta,2000,Cabecera,499750
50,Meta,2000,Centros Poblados y Rural Disperso,188669
50,Meta,2000,Total,688419
50,Meta,2001,Cabecera,522187
50,Meta,2001,Centros Poblados y Rural Disperso,187025
50,Meta,2001,Total,709212
50,Meta,2002,Cabecera,543921
50,Meta,2002,Centros Poblados y Rural Disperso,186148
50,Meta,2002,Total,730069
50,Meta,2003,Cabecera,564522
50,Meta,2003,Centros Poblados y Rural Disperso,186514
50,Meta,2003,Total,751036
50,Meta,2004,Cabecera,584043
50,Meta,2004,Centros Poblados y Rural Disperso,188149
50,Meta,2004,Total,772192
52,Nariño,1993,Cabecera,560091
52,Nariño,1993,Centros Poblados y Rural Disperso,752098
52,Nariño,1993,Total,1312189
52,Nariño,1994,Cabecera,571097
52,Nariño,1994,Centros Poblados y Rural Disperso,759186
52,Nariño,1994,Total,1330283
52,Nariño,1995,Cabecera,580496
52,Nariño,1995,Centros Poblados y Rural Disperso,768087
52,Nariño,1995,Total,1348583
52,Nariño,1996,Cabecera,589642
52,Nariño,1996,Centros Poblados y Rural Disperso,777265
52,Nariño,1996,Total,1366907
52,Nariño,1997,Cabecera,598480
52,Nariño,1997,Centros Poblados y Rural Disperso,786595
52,Nariño,1997,Total,1385075
52,Nariño,1998,Cabecera,606978
52,Nariño,1998,Centros Poblados y Rural Disperso,795916
52,Nariño,1998,Total,1402894
52,Nariño,1999,Cabecera,615089
52,Nariño,1999,Centros Poblados y Rural Disperso,805139
52,Nariño,1999,Total,1420228
52,Nariño,2000,Cabecera,626403
52,Nariño,2000,Centros Poblados y Rural Disperso,810469
52,Nariño,2000,Total,1436872
52,Nariño,2001,Cabecera,637171
52,Nariño,2001,Centros Poblados y Rural Disperso,815542
52,Nariño,2001,Total,1452713
52,Nariño,2002,Cabecera,644081
52,Nariño,2002,Centros Poblados y Rural Disperso,823714
52,Nariño,2002,Total,1467795
52,Nariño,2003,Cabecera,650717
52,Nariño,2003,Centros Poblados y Rural Disperso,831646
52,Nariño,2003,Total,1482363
52,Nariño,2004,Cabecera,657195
52,Nariño,2004,Centros Poblados y Rural Disperso,839531
52,Nariño,2004,Total,1496726
54,Norte de Santander,1993,Cabecera,777999
54,Norte de Santander,1993,Centros Poblados y Rural Disperso,306629
54,Norte de Santander,1993,Total,1084628
54,Norte de Santander,1994,Cabecera,801566
