DP,DPNOM,AÑO,ÁREA GEOGRÁFICA,Población
13,Bolívar,2016,Centros Poblados y Rural Disperso,506815
13,Bolívar,2016,Total,2013010
13,Bolívar,2017,Cabecera,1523254
13,Bolívar,2017,Centros Poblados y Rural Disperso,512457
13,Bolívar,2017,Total,2035711
15,Boyacá,2005,Cabecera,584485
15,Boyacá,2005,Centros Poblados y Rural Disperso,556180
15,Boyacá,2005,Total,1140665
15,Boyacá,2006,Cabecera,594690
15,Boyacá,2006,Centros Poblados y Rural Disperso,550535
15,Boyacá,2006,Total,1145225
15,Boyacá,2007,Cabecera,604758
15,Boyacá,2007,Centros Poblados y Rural Disperso,545151
15,Boyacá,2007,Total,1149909
15,Boyacá,2008,Cabecera,614688
15,Boyacá,2008,Centros Poblados y Rural Disperso,540059
15,Boyacá,2008,Total,1154747
15,Boyacá,2009,Cabecera,624508
15,Boyacá,2009,Centros Poblados y Rural Disperso,535342
15,Boyacá,2009,Total,1159850
15,Boyacá,2010,Cabecera,634218
15,Boyacá,2010,Centros Poblados y Rural Disperso,530986
15,Boyacá,2010,Total,1165204
15,Boyacá,2011,Cabecera,643722
15,Boyacá,2011,Centros Poblados y Rural Disperso,526918
15,Boyacá,2011,Total,1170640
15,Boyacá,2012,Cabecera,652964
15,Boyacá,2012,Centros Poblados y Rural Disperso,523105
15,Boyacá,2012,Total,1176069
15,Boyacá,2013,Cabecera,661995
15,Boyacá,2013,Centros Poblados y Rural Disperso,519585
15,Boyacá,2013,Total,1181580
15,Boyacá,2014,Cabecera,670836
15,Boyacá,2014,Centros Poblados y Rural Disperso,516413
15,Boyacá,2014,Total,1187249
15,Boyacá,2015,Cabecera,679600
15,Boyacá,2015,Centros Poblados y Rural Disperso,513606
15,Boyacá,2015,Total,1193206
15,Boyacá,2016,Cabecera,688566
15,Boyacá,2016,Centros Poblados y Rural Disperso,511412
15,Boyacá,2016,Total,1199978
15,Boyacá,2017,Cabecera,697814
15,Boyacá,2017,Centros Poblados y Rural Disperso,509851
15,Boyacá,2017,Total,1207665
17,Caldas,2005,Cabecera,684214
17,Caldas,2005,Centros Poblados y Rural Disperso,312220
17,Caldas,2005,Total,996434
17,Caldas,2006,Cabecera,686580
17,Caldas,2006,Centros Poblados y Rural Disperso,306757
17,Caldas,2006,Total,993337
17,Caldas,2007,Cabecera,689096
17,Caldas,2007,Centros Poblados y Rural Disperso,301349
17,Caldas,2007,Total,990445
17,Caldas,2008,Cabecera,691748
17,Caldas,2008,Centros Poblados y Rural Disperso,296011
17,Caldas,2008,Total,987759
17,Caldas,2009,Cabecera,694772
17,Caldas,2009,Centros Poblados y Rural Disperso,290868
17,Caldas,2009,Total,985640
17,Caldas,2010,Cabecera,698312
17,Caldas,2010,Centros Poblados y Rural Disperso,285992
17,Caldas,2010,Total,984304
17,Caldas,2011,Cabecera,702154
17,Caldas,2011,Centros Poblados y Rural Disperso,281344
17,Caldas,2011,Total,983498
17,Caldas,2012,Cabecera,706069
17,Caldas,2012,Centros Poblados y Rural Disperso,276835
17,Caldas,2012,Total,982904
17,Caldas,2013,Cabecera,710063
17,Caldas,2013,Centros Poblados y Rural Disperso,272500
17,Caldas,2013,Total,982563
17,Caldas,2014,Cabecera,714460
17,Caldas,2014,Centros Poblados y Rural Disperso,268473
17,Caldas,2014,Total,982933
17,Caldas,2015,Cabecera,719487
17,Caldas,2015,Centros Poblados y Rural Disperso,264873
17,Caldas,2015,Total,984360
17,Caldas,2016,Cabecera,725445
17,Caldas,2016,Centros Poblados y Rural Disperso,261769
17,Caldas,2016,Total,987214
17,Caldas,2017,Cabecera,732198
17,Caldas,2017,Centros Poblados y Rural Disperso,259165
17,Caldas,2017,Total,991363
18,Caquetá,2005,Cabecera,241379
18,Caquetá,2005,Centros Poblados y Rural Disperso,137894
18,Caquetá,2005,Total,379273
18,Caquetá,2006,Cabecera,243893
18,Caquetá,2006,Centros Poblados y Rural Disperso,137859
18,Caquetá,2006,Total,381752
18,Caquetá,2007,Cabecera,246017
18,Caquetá,2007,Centros Poblados y Rural Disperso,138120
18,Caquetá,2007,Total,384137
18,Caquetá,2008,Cabecera,247823
18,Caquetá,2008,Centros Poblados y Rural Disperso,138569
18,Caquetá,2008,Total,386392
18,Caquetá,2009,Cabecera,249430
18,Caquetá,2009,Centros Poblados y Rural Disperso,139122
18,Caquetá,2009,Total,388552
18,Caquetá,2010,Cabecera,250898
18,Caquetá,2010,Centros Poblados y Rural Disperso,139747
18,Caquetá,2010,Total,390645
18,Caquetá,2011,Cabecera,252241
18,Caquetá,2011,Centros Poblados y Rural Disperso,140370
18,Caquetá,2011,Total,392611
18,Caquetá,2012,Cabecera,253414
18,Caquetá,2012,Centros Poblados y Rural Disperso,140965
18,Caquetá,2012,Total,394379
18,Caquetá,2013,Cabecera,254459
18,Caquetá,2013,Centros Poblados y Rural Disperso,141488
18,Caquetá,2013,Total,395947
18,Caquetá,2014,Cabecera,255391
18,Caquetá,2014,Centros Poblados y Rural Disperso,141992
18,Caquetá,2014,Total,397383
18,Caquetá,2015,Cabecera,256257
18,Caquetá,2015,Centros Poblados y Rural Disperso,142468
18,Caquetá,2015,Total,398725
18,Caquetá,2016,Cabecera,257077
18,Caquetá,2016,Centros Poblados y Rural Disperso,142906
18,Caquetá,2016,Total,399983
18,Caquetá,2017,Cabecera,257795
18,Caquetá,2017,Centros Poblados y Rural Disperso,143304
18,Caquetá,2017,Total,401099
19,Cauca,2005,Cabecera,472996
19,Cauca,2005,Centros Poblados y Rural Disperso,808056
19,Cauca,2005,Total,1281052
19,Cauca,2006,Cabecera,478674
19,Cauca,2006,Centros Poblados y Rural Disperso,817569
19,Cauca,2006,Total,1296243
19,Cauca,2007,Cabecera,484149
19,Cauca,2007,Centros Poblados y Rural Disperso,826791
19,Cauca,2007,Total,1310940
19,Cauca,2008,Cabecera,493846
19,Cauca,2008,Centros Poblados y Rural Disperso,831237
19,Cauca,2008,Total,1325083
19,Cauca,2009,Cabecera,499052
19,Cauca,2009,Centros Poblados y Rural Disperso,839954
19,Cauca,2009,Total,1339006
19,Cauca,2010,Cabecera,504266
19,Cauca,2010,Centros Poblados y Rural Disperso,848676
19,Cauca,2010,Total,1352942
19,Cauca,2011,Cabecera,509433
19,Cauca,2011,Centros Poblados y Rural Disperso,857325
19,Cauca,2011,Total,1366758
19,Cauca,2012,Cabecera,514472
19,Cauca,2012,Centros Poblados y Rural Disperso,865785
19,Cauca,2012,Total,1380257
19,Cauca,2013,Cabecera,519414
19,Cauca,2013,Centros Poblados y Rural Disperso,874051
19,Cauca,2013,Total,1393465
19,Cauca,2014,Cabecera,524361
19,Cauca,2014,Centros Poblados y Rural Disperso,882374
19,Cauca,2014,Total,1406735
19,Cauca,2015,Cabecera,529433
19,Cauca,2015,Centros Poblados y Rural Disperso,890880
19,Cauca,2015,Total,1420313
19,Cauca,2016,Cabecera,534678
19,Cauca,2016,Centros Poblados y Rural Disperso,899717
19,Cauca,2016,Total,1434395
19,Cauca,2017,Cabecera,540059
19,Cauca,2017,Centros Poblados y Rural Disperso,908778
19,Cauca,2017,Total,1448837
20,Cesar,2005,Cabecera,677273
20,Cesar,2005,Centros Poblados y Rural Disperso,271474
20,Cesar,2005,Total,948747
20,Cesar,2006,Cabecera,699459
20,Cesar,2006,Centros Poblados y Rural Disperso,263877
20,Cesar,2006,Total,963336
20,Cesar,2007,Cabecera,719496
20,Cesar,2007,Centros Poblados y Rural Disperso,259027
20,Cesar,2007,Total,978523
20,Cesar,2008,Cabecera,737427
20,Cesar,2008,Centros Poblados y Rural Disperso,256829
20,Cesar,2008,Total,994256
20,Cesar,2009,Cabecera,753711
20,Cesar,2009,Centros Poblados y Rural Disperso,256796
20,Cesar,2009,Total,1010507
20,Cesar,2010,Cabecera,768778
20,Cesar,2010,Centros Poblados y Rural Disperso,258311
20,Cesar,2010,Total,1027089
20,Cesar,2011,Cabecera,782947
20,Cesar,2011,Centros Poblados y Rural Disperso,260807
20,Cesar,2011,Total,1043754
20,Cesar,2012,Cabecera,796656
20,Cesar,2012,Centros Poblados y Rural Disperso,264002
20,Cesar,2012,Total,1060658
20,Cesar,2013,Cabecera,810343
20,Cesar,2013,Centros Poblados y Rural Disperso,267690
20,Cesar,2013,Total,1078033
20,Cesar,2014,Cabecera,824026
20,Cesar,2014,Centros Poblados y Rural Disperso,271693
20,Cesar,2014,Total,1095719
20,Cesar,2015,Cabecera,838197
20,Cesar,2015,Centros Poblados y Rural Disperso,276072
20,Cesar,2015,Total,1114269
20,Cesar,2016,Cabecera,854921
20,Cesar,2016,Centros Poblados y Rural Disperso,281378
20,Cesar,2016,Total,1136299
20,Cesar,2017,Cabecera,874645
20,Cesar,2017,Centros Poblados y Rural Disperso,287770
20,Cesar,2017,Total,1162415
23,Córdoba,2005,Cabecera,806639
23,Córdoba,2005,Centros Poblados y Rural Disperso,732674
23,Córdoba,2005,Total,1539313
23,Córdoba,2006,Cabecera,817805
23,Córdoba,2006,Centros Poblados y Rural Disperso,741798
23,Córdoba,2006,Total,1559603
23,Córdoba,2007,Cabecera,828662
23,Córdoba,2007,Centros Poblados y Rural Disperso,750895
23,Córdoba,2007,Total,1579557
23,Córdoba,2008,Cabecera,839193
23,Córdoba,2008,Centros Poblados y Rural Disperso,759936
23,Córdoba,2008,Total,1599129
23,Córdoba,2009,Cabecera,849487
23,Córdoba,2009,Centros Poblados y Rural Disperso,768889
23,Córdoba,2009,Total,1618376
23,Córdoba,2010,Cabecera,859564
23,Córdoba,2010,Centros Poblados y Rural Disperso,777746
23,Córdoba,2010,Total,1637310
23,Córdoba,2011,Cabecera,869381
23,Córdoba,2011,Centros Poblados y Rural Disperso,786437
23,Córdoba,2011,Total,1655818
23,Córdoba,2012,Cabecera,878935
23,Córdoba,2012,Centros Poblados y Rural Disperso,794956
23,Córdoba,2012,Total,1673891
23,Córdoba,2013,Cabecera,888287
23,Córdoba,2013,Centros Poblados y Rural Disperso,803322
23,Córdoba,2013,Total,1691609
23,Córdoba,2014,Cabecera,897463
23,Córdoba,2014,Centros Poblados y Rural Disperso,811540
23,Córdoba,2014,Total,1709003
23,Córdoba,2015,Cabecera,906561
23,Córdoba,2015,Centros Poblados y Rural Disperso,819726
23,Córdoba,2015,Total,1726287
23,Córdoba,2016,Cabecera,916005
23,Córdoba,2016,Centros Poblados y Rural Disperso,828249
23,Córdoba,2016,Total,1744254
23,Córdoba,2017,Cabecera,925903
23,Córdoba,2017,Centros Poblados y Rural Disperso,837150
23,Córdoba,2017,Total,1763053
25,Cundinamarca,2005,Cabecera,1183402
25,Cundinamarca,2005,Centros Poblados y Rural Disperso,720093
25,Cundinamarca,2005,Total,1903495
25,Cundinamarca,2006,Cabecera,1219313
25,Cundinamarca,2006,Centros Poblados y Rural Disperso,716743
25,Cundinamarca,2006,Total,1936056
25,Cundinamarca,2007,Cabecera,1259708
25,Cundinamarca,2007,Centros Poblados y Rural Disperso,715416
25,Cundinamarca,2007,Total,1975124
25,Cundinamarca,2008,Cabecera,1304916
25,Cundinamarca,2008,Centros Poblados y Rural Disperso,716126
25,Cundinamarca,2008,Total,2021042
25,Cundinamarca,2009,Cabecera,1355359
25,Cundinamarca,2009,Centros Poblados y Rural Disperso,718891
25,Cundinamarca,2009,Total,2074250
25,Cundinamarca,2010,Cabecera,1411173
25,Cundinamarca,2010,Centros Poblados y Rural Disperso,723603
25,Cundinamarca,2010,Total,2134776
25,Cundinamarca,2011,Cabecera,1472132
25,Cundinamarca,2011,Centros Poblados y Rural Disperso,729960
25,Cundinamarca,2011,Total,2202092
25,Cundinamarca,2012,Cabecera,1538282
25,Cundinamarca,2012,Centros Poblados y Rural Disperso,737815
25,Cundinamarca,2012,Total,2276097
25,Cundinamarca,2013,Cabecera,1610083
25,Cundinamarca,2013,Centros Poblados y Rural Disperso,747256
25,Cundinamarca,2013,Total,2357339
25,Cundinamarca,2014,Cabecera,1687873
25,Cundinamarca,2014,Centros Poblados y Rural Disperso,758265
25,Cundinamarca,2014,Total,2446138
25,Cundinamarca,2015,Cabecera,1772310
25,Cundinamarca,2015,Centros Poblados y Rural Disperso,771028
25,Cundinamarca,2015,Total,2543338
25,Cundinamarca,2016,Cabecera,1865737
25,Cundinamarca,2016,Centros Poblados y Rural Disperso,786339
25,Cundinamarca,2016,Total,2652076
25,Cundinamarca,2017,Cabecera,1968975
25,Cundinamarca,2017,Centros Poblados y Rural Disperso,804310
25,Cundinamarca,2017,Total,2773285
27,Chocó,2005,Cabecera,182359
27,Chocó,2005,Centros Poblados y Rural Disperso,220350
27,Chocó,2005,Total,402709
27,Chocó,2006,Cabecera,187883
27,Chocó,2006,Centros Poblados y Rural Disperso,226600
27,Chocó,2006,Total,414483
27,Chocó,2007,Cabecera,193292
27,Chocó,2007,Centros Poblados y Rural Disperso,232785
27,Chocó,2007,Total,426077
27,Chocó,2008,Cabecera,198557
27,Chocó,2008,Centros Poblados y Rural Disperso,238877
27,Chocó,2008,Total,437434
27,Chocó,2009,Cabecera,203703
27,Chocó,2009,Centros Poblados y Rural Disperso,244851
27,Chocó,2009,Total,448554
27,Chocó,2010,Cabecera,208726
27,Chocó,2010,Centros Poblados y Rural Disperso,250727
27,Chocó,2010,Total,459453
27,Chocó,2011,Cabecera,213609
27,Chocó,2011,Centros Poblados y Rural Disperso,256478
27,Chocó,2011,Total,470087
27,Chocó,2012,Cabecera,218327
27,Chocó,2012,Centros Poblados y Rural Disperso,262064
27,Chocó,2012,Total,480391
27,Chocó,2013,Cabecera,222892
27,Chocó,2013,Centros Poblados y Rural Disperso,267446
27,Chocó,2013,Total,490338
27,Chocó,2014,Cabecera,227282
27,Chocó,2014,Centros Poblados y Rural Disperso,272664
27,Chocó,2014,Total,499946
27,Chocó,2015,Cabecera,231529
27,Chocó,2015,Centros Poblados y Rural Disperso,277711
27,Chocó,2015,Total,509240
27,Chocó,2016,Cabecera,235637
27,Chocó,2016,Centros Poblados y Rural Disperso,282597
27,Chocó,2016,Total,518234
27,Chocó,2017,Cabecera,239569
27,Chocó,2017,Centros Poblados y Rural Disperso,287319
27,Chocó,2017,Total,526888
41,Huila,2005,Cabecera,572915
41,Huila,2005,Centros Poblados y Rural Disperso,368848
41,Huila,2005,Total,941763
41,Huila,2006,Cabecera,580295
41,Huila,2006,Centros Poblados y Rural Disperso,373481
41,Huila,2006,Total,953776
41,Huila,2007,Cabecera,587614
41,Huila,2007,Centros Poblados y Rural Disperso,378111
41,Huila,2007,Total,965725
41,Huila,2008,Cabecera,594824
41,Huila,2008,Centros Poblados y Rural Disperso,382704
41,Huila,2008,Total,977528
41,Huila,2009,Cabecera,602059
41,Huila,2009,Centros Poblados y Rural Disperso,387316
41,Huila,2009,Total,989375
41,Huila,2010,Cabecera,609385
41,Huila,2010,Centros Poblados y Rural Disperso,391987
41,Huila,2010,Total,1001372
41,Huila,2011,Cabecera,616732
41,Huila,2011,Centros Poblados y Rural Disperso,396686
41,Huila,2011,Total,1013418
41,Huila,2012,Cabecera,624020
41,Huila,2012,Centros Poblados y Rural Disperso,401364
41,Huila,2012,Total,1025384
41,Huila,2013,Cabecera,631253
41,Huila,2013,Centros Poblados y Rural Disperso,405999
41,Huila,2013,Total,1037252
41,Huila,2014,Cabecera,638538
41,Huila,2014,Centros Poblados y Rural Disperso,410677
41,Huila,2014,Total,1049215
41,Huila,2015,Cabecera,645963
41,Huila,2015,Centros Poblados y Rural Disperso,415442
41,Huila,2015,Total,1061405
41,Huila,2016,Cabecera,653574
41,Huila,2016,Centros Poblados y Rural Disperso,420342
41,Huila,2016,Total,1073916
41,Huila,2017,Cabecera,661340
41,Huila,2017,Centros Poblados y Rural Disperso,425314
41,Huila,2017,Total,1086654
44,La Guajira,2005,Cabecera,334543
44,La Guajira,2005,Centros Poblados y Rural Disperso,311175
44,La Guajira,2005,Total,645718
44,La Guajira,2006,Cabecera,328886
44,La Guajira,2006,Centros Poblados y Rural Disperso,331684
44,La Guajira,2006,Total,660570
44,La Guajira,2007,Cabecera,327574
44,La Guajira,2007,Centros Poblados y Rural Disperso,348064
44,La Guajira,2007,Total,675638
44,La Guajira,2008,Cabecera,329585
44,La Guajira,2008,Centros Poblados y Rural Disperso,361508
44,La Guajira,2008,Total,691093
44,La Guajira,2009,Cabecera,333888
44,La Guajira,2009,Centros Poblados y Rural Disperso,373055
44,La Guajira,2009,Total,706943
44,La Guajira,2010,Cabecera,339525
44,La Guajira,2010,Centros Poblados y Rural Disperso,383388
44,La Guajira,2010,Total,722913
44,La Guajira,2011,Cabecera,345862
44,La Guajira,2011,Centros Poblados y Rural Disperso,392881
44,La Guajira,2011,Total,738743
44,La Guajira,2012,Cabecera,352643
44,La Guajira,2012,Centros Poblados y Rural Disperso,401931
44,La Guajira,2012,Total,754574
44,La Guajira,2013,Cabecera,359783
44,La Guajira,2013,Centros Poblados y Rural Disperso,410833
44,La Guajira,2013,Total,770616
44,La Guajira,2014,Cabecera,367057
44,La Guajira,2014,Centros Poblados y Rural Disperso,419561
44,La Guajira,2014,Total,786618
44,La Guajira,2015,Cabecera,374627
44,La Guajira,2015,Centros Poblados y Rural Disperso,428465
44,La Guajira,2015,Total,803092
44,La Guajira,2016,Cabecera,383711
44,La Guajira,2016,Centros Poblados y Rural Disperso,438989
44,La Guajira,2016,Total,822700
44,La Guajira,2017,Cabecera,394545
44,La Guajira,2017,Centros Poblados y Rural Disperso,451467
44,La Guajira,2017,Total,846012
47,Magdalena,2005,Cabecera,766611
47,Magdalena,2005,Centros Poblados y Rural Disperso,331140
47,Magdalena,2005,Total,1097751
47,Magdalena,2006,Cabecera,779711
47,Magdalena,2006,Centros Poblados y Rural Disperso,336326
47,Magdalena,2006,Total,1116037
47,Magdalena,2007,Cabecera,792711
47,Magdalena,2007,Centros Poblados y Rural Disperso,341586
47,Magdalena,2007,Total,1134297
47,Magdalena,2008,Cabecera,805546
47,Magdalena,2008,Centros Poblados y Rural Disperso,346876
47,Magdalena,2008,Total,1152422
47,Magdalena,2009,Cabecera,818228
47,Magdalena,2009,Centros Poblados y Rural Disperso,352158
47,Magdalena,2009,Total,1170386
47,Magdalena,2010,Cabecera,830618
47,Magdalena,2010,Centros Poblados y Rural Disperso,357382
47,Magdalena,2010,Total,1188000
47,Magdalena,2011,Cabecera,842545
47,Magdalena,2011,Centros Poblados y Rural Disperso,362432
47,Magdalena,2011,Total,1204977
47,Magdalena,2012,Cabecera,854091
47,Magdalena,2012,Centros Poblados y Rural Disperso,367328
47,Magdalena,2012,Total,1221419
47,Magdalena,2013,Cabecera,865390
47,Magdalena,2013,Centros Poblados y Rural Disperso,372153
47,Magdalena,2013,Total,1237543
47,Magdalena,2014,Cabecera,876369
47,Magdalena,2014,Centros Poblados y Rural Disperso,376842
47,Magdalena,2014,Total,1253211
47,Magdalena,2015,Cabecera,887420
47,Magdalena,2015,Centros Poblados y Rural Disperso,381560
47,Magdalena,2015,Total,1268980
47,Magdalena,2016,Cabecera,900356
47,Magdalena,2016,Centros Poblados y Rural Disperso,387106
47,Magdalena,2016,Total,1287462
47,Magdalena,2017,Cabecera,915586
47,Magdalena,2017,Centros Poblados y Rural Disperso,393673
47,Magdalena,2017,Total,1309259
50,Meta,2005,Cabecera,602955
50,Meta,2005,Centros Poblados y Rural Disperso,190966
50,Meta,2005,Total,793921
50,Meta,2006,Cabecera,620738
50,Meta,2006,Centros Poblados y Rural Disperso,194453
50,Meta,2006,Total,815191
50,Meta,2007,Cabecera,637665
50,Meta,2007,Centros Poblados y Rural Disperso,198374
50,Meta,2007,Total,836039
50,Meta,2008,Cabecera,653845
50,Meta,2008,Centros Poblados y Rural Disperso,202540
50,Meta,2008,Total,856385
50,Meta,2009,Cabecera,669518
50,Meta,2009,Centros Poblados y Rural Disperso,206845
50,Meta,2009,Total,876363
50,Meta,2010,Cabecera,684802
50,Meta,2010,Centros Poblados y Rural Disperso,211232
50,Meta,2010,Total,896034
50,Meta,2011,Cabecera,699662
50,Meta,2011,Centros Poblados y Rural Disperso,215615
50,Meta,2011,Total,915277
50,Meta,2012,Cabecera,714048
50,Meta,2012,Centros Poblados y Rural Disperso,219918
50,Meta,2012,Total,933966
50,Meta,2013,Cabecera,727971
50,Meta,2013,Centros Poblados y Rural Disperso,224130
50,Meta,2013,Total,952101
50,Meta,2014,Cabecera,741548
